,SPRADDR_ZIP_PR,SEMESTER,IRO_INSTITUTION_DESCL,ENROLLMENT,YEAR
0,HI,Fall 2014,University of Hawai`i at Manoa,53,2014
1,HI,Fall 2014,University of Hawai`i at Manoa,127,2014
2,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
3,HI,Fall 2014,University of Hawai`i at Manoa,16,2014
4,HI,Fall 2014,University of Hawai`i at Manoa,15,2014
5,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
6,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
7,HI,Fall 2014,University of Hawai`i at Manoa,126,2014
8,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
9,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
10,HI,Fall 2014,University of Hawai`i at Manoa,12,2014
11,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
12,SC,Fall 2014,University of Hawai`i at Manoa,1,2014
13,HI,Fall 2014,University of Hawai`i at Manoa,83,2014
14,HI,Fall 2014,University of Hawai`i at Manoa,189,2014
15,CT,Fall 2014,University of Hawai`i at Manoa,1,2014
17,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
18,HI,Fall 2014,University of Hawai`i at Manoa,263,2014
19,HI,Fall 2014,University of Hawai`i at Manoa,82,2014
20,HI,Fall 2014,University of Hawai`i at Manoa,150,2014
21,FL,Fall 2014,University of Hawai`i at Manoa,2,2014
22,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
23,HI,Fall 2014,University of Hawai`i at Manoa,138,2014
24,HI,Fall 2014,University of Hawai`i at Manoa,49,2014
25,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
26,HI,Fall 2014,University of Hawai`i at Manoa,56,2014
27,HI,Fall 2014,University of Hawai`i at Manoa,65,2014
29,HI,Fall 2014,University of Hawai`i at Manoa,5,2014
30,WA,Fall 2014,University of Hawai`i at Manoa,10,2014
31,HI,Fall 2014,University of Hawai`i at Manoa,95,2014
32,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
33,HI,Fall 2014,University of Hawai`i at Manoa,48,2014
34,HI,Fall 2014,University of Hawai`i at Manoa,52,2014
35,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
36,HI,Fall 2014,University of Hawai`i at Manoa,85,2014
37,HI,Fall 2014,University of Hawai`i at Manoa,33,2014
38,HI,Fall 2014,University of Hawai`i at Manoa,38,2014
39,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
40,HI,Fall 2014,University of Hawai`i at Manoa,8,2014
41,OR,Fall 2014,University of Hawai`i at Manoa,2,2014
42,WI,Fall 2014,University of Hawai`i at Manoa,1,2014
43,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
44,HI,Fall 2014,University of Hawai`i at Manoa,114,2014
45,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
46,HI,Fall 2014,University of Hawai`i at Manoa,50,2014
47,HI,Fall 2014,University of Hawai`i at Manoa,61,2014
48,IA,Fall 2014,University of Hawai`i at Manoa,2,2014
49,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
50,HI,Fall 2014,University of Hawai`i at Manoa,10,2014
51,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
52,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
53,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
54,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
55,NM,Fall 2014,University of Hawai`i at Manoa,1,2014
56,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
57,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
58,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
59,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
60,HI,Fall 2014,University of Hawai`i at Manoa,10,2014
61,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
62,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
63,HI,Fall 2014,University of Hawai`i at Manoa,5,2014
64,IN,Fall 2014,University of Hawai`i at Manoa,1,2014
65,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
66,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
67,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
68,KY,Fall 2014,University of Hawai`i at Manoa,1,2014
69,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
70,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
71,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
72,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
73,HI,Fall 2014,University of Hawai`i at Manoa,34,2014
74,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
75,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
76,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
77,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
78,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
79,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
80,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
81,HI,Fall 2014,University of Hawai`i at Manoa,4,2014
82,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
83,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
84,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
85,CA,Fall 2014,University of Hawai`i at Manoa,4,2014
86,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
87,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
88,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
89,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
90,HI,Fall 2014,University of Hawai`i at Manoa,10,2014
91,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
92,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
93,HI,Fall 2014,University of Hawai`i at Manoa,7,2014
94,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
95,HI,Fall 2014,University of Hawai`i at Manoa,17,2014
96,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
97,CA,Fall 2014,University of Hawai`i at Manoa,4,2014
98,HI,Fall 2014,University of Hawai`i at Manoa,8,2014
99,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
101,HI,Fall 2014,University of Hawai`i at Manoa,12,2014
102,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
103,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
104,NC,Fall 2014,University of Hawai`i at Manoa,2,2014
105,DC,Fall 2014,University of Hawai`i at Manoa,1,2014
106,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
107,UT,Fall 2014,University of Hawai`i at Manoa,1,2014
108,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
109,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
110,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
111,HI,Fall 2014,University of Hawai`i at Manoa,9,2014
112,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
113,MA,Fall 2014,University of Hawai`i at Manoa,2,2014
114,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
115,HI,Fall 2014,University of Hawai`i at Manoa,15,2014
116,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
117,SC,Fall 2014,University of Hawai`i at Manoa,1,2014
118,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
119,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
120,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
121,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
122,ID,Fall 2014,University of Hawai`i at Manoa,2,2014
123,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
124,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
125,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
126,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
127,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
128,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
129,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
130,ID,Fall 2014,University of Hawai`i at Manoa,2,2014
131,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
132,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
133,CO,Fall 2014,University of Hawai`i at Manoa,3,2014
134,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
135,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
136,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
137,CA,Fall 2014,University of Hawai`i at Manoa,4,2014
138,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
139,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
140,CA,Fall 2014,University of Hawai`i at Manoa,4,2014
141,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
142,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
143,CO,Fall 2014,University of Hawai`i at Manoa,2,2014
144,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
145,IA,Fall 2014,University of Hawai`i at Manoa,1,2014
146,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
147,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
148,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
149,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
150,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
151,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
152,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
153,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
154,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
155,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
156,HI,Fall 2014,University of Hawai`i at Manoa,4,2014
158,ND,Fall 2014,University of Hawai`i at Manoa,1,2014
159,RI,Fall 2014,University of Hawai`i at Manoa,1,2014
160,HI,Fall 2014,University of Hawai`i at Manoa,4,2014
161,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
162,CO,Fall 2014,University of Hawai`i at Manoa,2,2014
163,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
164,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
165,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
166,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
167,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
168,HI,Fall 2014,University of Hawai`i at Manoa,6,2014
169,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
170,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
171,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
172,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
173,HI,Fall 2014,University of Hawai`i at Manoa,4,2014
174,AZ,Fall 2014,University of Hawai`i at Manoa,2,2014
175,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
176,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
177,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
178,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
179,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
180,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
181,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
182,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
183,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
184,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
185,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
186,SC,Fall 2014,University of Hawai`i at Manoa,1,2014
187,MI,Fall 2014,University of Hawai`i at Manoa,1,2014
188,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
189,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
190,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
191,DC,Fall 2014,University of Hawai`i at Manoa,1,2014
193,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
194,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
195,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
196,WI,Fall 2014,University of Hawai`i at Manoa,1,2014
197,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
198,AZ,Fall 2014,University of Hawai`i at Manoa,2,2014
199,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
200,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
201,CA,Fall 2014,University of Hawai`i at Manoa,8,2014
202,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
203,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
204,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
205,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
206,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
207,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
208,ID,Fall 2014,University of Hawai`i at Manoa,2,2014
209,WY,Fall 2014,University of Hawai`i at Manoa,3,2014
210,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
211,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
212,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
213,UT,Fall 2014,University of Hawai`i at Manoa,5,2014
214,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
215,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
216,AZ,Fall 2014,University of Hawai`i at Manoa,2,2014
217,PA,Fall 2014,University of Hawai`i at Manoa,1,2014
218,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
219,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
220,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
221,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
223,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
224,AZ,Fall 2014,University of Hawai`i at Manoa,2,2014
225,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
226,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
227,AL,Fall 2014,University of Hawai`i at Manoa,1,2014
228,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
229,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
230,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
231,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
232,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
233,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
234,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
235,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
236,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
237,IA,Fall 2014,University of Hawai`i at Manoa,1,2014
238,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
239,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
240,HI,Fall 2014,University of Hawai`i at Manoa,3,2014
241,ND,Fall 2014,University of Hawai`i at Manoa,1,2014
242,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
243,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
244,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
245,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
246,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
247,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
248,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
249,ME,Fall 2014,University of Hawai`i at Manoa,1,2014
250,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
251,MT,Fall 2014,University of Hawai`i at Manoa,1,2014
252,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
253,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
254,NH,Fall 2014,University of Hawai`i at Manoa,1,2014
255,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
256,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
257,ID,Fall 2014,University of Hawai`i at Manoa,1,2014
258,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
259,WI,Fall 2014,University of Hawai`i at Manoa,1,2014
260,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
261,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
262,TN,Fall 2014,University of Hawai`i at Manoa,1,2014
263,OR,Fall 2014,University of Hawai`i at Manoa,2,2014
264,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
265,WV,Fall 2014,University of Hawai`i at Manoa,1,2014
266,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
267,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
268,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
269,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
270,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
271,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
272,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
273,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
274,GA,Fall 2014,University of Hawai`i at Manoa,1,2014
275,UT,Fall 2014,University of Hawai`i at Manoa,2,2014
276,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
277,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
278,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
279,RI,Fall 2014,University of Hawai`i at Manoa,1,2014
280,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
281,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
282,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
283,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
284,WA,Fall 2014,University of Hawai`i at Manoa,2,2014
285,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
286,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
287,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
288,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
289,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
290,MO,Fall 2014,University of Hawai`i at Manoa,1,2014
291,CA,Fall 2014,University of Hawai`i at Manoa,3,2014
292,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
293,ID,Fall 2014,University of Hawai`i at Manoa,1,2014
294,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
295,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
296,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
297,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
298,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
299,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
300,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
301,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
302,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
303,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
304,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
305,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
306,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
307,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
308,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
309,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
310,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
311,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
312,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
313,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
314,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
315,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
316,KY,Fall 2014,University of Hawai`i at Manoa,1,2014
317,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
318,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
319,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
320,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
321,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
322,WA,Fall 2014,University of Hawai`i at Manoa,3,2014
323,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
324,ID,Fall 2014,University of Hawai`i at Manoa,1,2014
325,nan,Fall 2014,University of Hawai`i at Manoa,1,2014
326,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
327,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
328,AR,Fall 2014,University of Hawai`i at Manoa,1,2014
329,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
330,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
331,NM,Fall 2014,University of Hawai`i at Manoa,1,2014
333,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
334,MI,Fall 2014,University of Hawai`i at Manoa,1,2014
335,CT,Fall 2014,University of Hawai`i at Manoa,1,2014
336,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
337,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
338,IA,Fall 2014,University of Hawai`i at Manoa,1,2014
339,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
340,RI,Fall 2014,University of Hawai`i at Manoa,1,2014
342,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
343,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
344,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
345,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
346,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
347,NY,Fall 2014,University of Hawai`i at Manoa,1,2014
348,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
349,NM,Fall 2014,University of Hawai`i at Manoa,1,2014
350,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
351,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
352,KS,Fall 2014,University of Hawai`i at Manoa,1,2014
353,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
354,HI,Fall 2014,University of Hawai`i at Manoa,4,2014
355,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
356,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
357,GA,Fall 2014,University of Hawai`i at Manoa,1,2014
358,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
359,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
360,MO,Fall 2014,University of Hawai`i at Manoa,1,2014
361,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
362,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
363,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
364,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
365,MT,Fall 2014,University of Hawai`i at Manoa,1,2014
366,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
367,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
368,NE,Fall 2014,University of Hawai`i at Manoa,1,2014
369,nan,Fall 2014,University of Hawai`i at Manoa,1,2014
370,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
371,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
372,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
373,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
374,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
375,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
377,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
378,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
379,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
380,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
381,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
382,UT,Fall 2014,University of Hawai`i at Manoa,1,2014
383,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
384,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
385,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
386,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
387,RI,Fall 2014,University of Hawai`i at Manoa,1,2014
388,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
389,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
390,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
391,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
392,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
393,OR,Fall 2014,University of Hawai`i at Manoa,1,2014
394,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
395,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
396,TX,Fall 2014,University of Hawai`i at Manoa,2,2014
397,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
398,IN,Fall 2014,University of Hawai`i at Manoa,1,2014
399,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
400,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
401,MD,Fall 2014,University of Hawai`i at Manoa,2,2014
402,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
403,WI,Fall 2014,University of Hawai`i at Manoa,1,2014
404,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
405,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
406,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
407,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
408,MD,Fall 2014,University of Hawai`i at Manoa,1,2014
409,AK,Fall 2014,University of Hawai`i at Manoa,1,2014
410,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
411,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
412,OH,Fall 2014,University of Hawai`i at Manoa,2,2014
413,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
414,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
415,ID,Fall 2014,University of Hawai`i at Manoa,2,2014
416,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
417,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
418,CO,Fall 2014,University of Hawai`i at Manoa,1,2014
419,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
420,FL,Fall 2014,University of Hawai`i at Manoa,1,2014
421,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
422,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
423,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
424,WA,Fall 2014,University of Hawai`i at Manoa,1,2014
425,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
426,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
427,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
428,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
429,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
430,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
431,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
432,CA,Fall 2014,University of Hawai`i at Manoa,2,2014
433,IN,Fall 2014,University of Hawai`i at Manoa,1,2014
434,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
435,NC,Fall 2014,University of Hawai`i at Manoa,1,2014
436,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
437,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
438,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
440,TN,Fall 2014,University of Hawai`i at Manoa,1,2014
441,NV,Fall 2014,University of Hawai`i at Manoa,1,2014
442,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
443,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
444,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
445,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
446,NJ,Fall 2014,University of Hawai`i at Manoa,1,2014
447,CA,Fall 2014,University of Hawai`i at Manoa,1,2014
448,HI,Fall 2014,University of Hawai`i at Manoa,2,2014
449,VA,Fall 2014,University of Hawai`i at Manoa,1,2014
450,IL,Fall 2014,University of Hawai`i at Manoa,1,2014
451,OH,Fall 2014,University of Hawai`i at Manoa,1,2014
452,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
453,TX,Fall 2014,University of Hawai`i at Manoa,1,2014
454,MA,Fall 2014,University of Hawai`i at Manoa,1,2014
455,AZ,Fall 2014,University of Hawai`i at Manoa,1,2014
456,HI,Fall 2014,University of Hawai`i at Manoa,1,2014
457,KS,Fall 2014,University of Hawai`i at Manoa,1,2014
458,VT,Fall 2014,University of Hawai`i at Manoa,1,2014
